HTS Number,Indent,Description
0303.13,2,Atlantic salmon (<i>Salmo salar</i>) && Danube salmon (<i>Hucho hucho</i>)
0303.14,2,Trout (<i>Salmo trutta &&  Oncorhynchus mykiss &&  Oncorhynchus clarki &&  Oncorhynchus aguabonita &&  Oncorhynchus gilae &&  Oncorhynchus apache && Oncorhynchus chrysogaster</i>)
0303.19.01,2,Other
0303,1,Tilapias(<i>Oreochromis spp</i>.) &&  catfish (<i>Pangasius spp</i>. &&  <i>Silurus spp</i>. &&  <i>Clarias spp</i>. && <i>Ictalurus spp</i>.) &&  carp (<i>Cyprinus spp</i>. &&  <i>Carassius spp</i>. &&  <i>Ctenopharyngodonidellus</i> &&  <i>Hypophthalmichthys spp</i>. && <i>Cirrhinus spp</i>. &&  <i>Mylopharyngodon piceus</i> &&  <i>Catlacatla</i> &&  <i>Labeo spp</i>. &&  <i>Osteochilus hasselti</i> &&  <i>Leptobarbus hoeveni</i> &&  <i>Megalobrama spp</i>.) &&  eels (<i>Anguilla spp</i>.) &&  Nile perch (<i>Lates niloticus</i>) && snakeheads (<i>Channa spp</i>.) &&  excluding edible fishoffal of subheadings 0303.91 to 0303.99
0303.23,2,Tilapias (<i>Oreochromis spp.</i>)
0303.24,2,Catfish (<i>Pangasius spp. &&  Silurus spp. &&  Clarias spp. &&  Ictalurus spp.</i>)
0303.24.00.10,3,<i>Ictalurus spp.</i>
0303.24.00.20,3,<i>Pangasius spp</i>. including basa && tra
0303.24.00.50,3,Other
0303.25.01,2,Carp (<i>Cyprinus spp</i>. &&  <i>Carassius spp</i>. &&  <i>Ctenopharyngodon idellus</i> &&  <i>Hypophthalmichthys spp</i>. &&  <i>Cirrhinus spp</i>. &&  <i>Mylopharyngodon piceus</i> &&  <i>Catla catla</i> &&  <i>Labeo spp</i>. &&  <i>Osteochilus hasselti</i> &&  <i>Leptobarbus hoeveni</i> &&  <i>Megalobrama spp</i>.)
0303.26,2,Eels (<i>Anguilla spp.</i>)
0303.29.01,2,Other
0303.29.01.10,3,Nile perch
0303.29.01.50,3,Other
0303,1,Flat fish (<i>Pleuronectidae &&  Bothidae &&  Cynoglossidae &&  Soleidae &&  Scophthalmidae</i> && <i>Citharidae</i>) &&  excluding edible fish offal of subheadings 0303.91 to 0303.99
0303.31,2,Halibut && Greenland turbot (<i>Reinhardtius hippoglossoides &&  Hippoglossus hippoglossus &&  Hippoglossus stenolepis</i>)
0303.31.00.10,3,Atlantic halibut (<i>Hippoglossus hippoglossus</i>)
0303.31.00.20,3,Pacific halibut (<i>Hippoglossus stenolepis</i>)
0303.31.00.30,3,Greenland turbot (Greenland halibut) (<i>Reinhardtius hippoglossoides</i>)
0303.32,2,Plaice (<i>Pleuronectes platessa</i>)
0303.33,2,Sole (<i>Solea spp.</i>)
0303.34,2,Turbots (<i>Psetta maxima</i>)
0303.39.01,2,Other
0303.39.01.10,3,Flounder
0303.39.01.20,3,Rock sole (<i>Pleuronectes bilineatus</i>)
0303.39.01.30,3,Yellowfin sole (<i>Pleuronectes asper</i>)
0303.39.01.95,3,Other
0303,1,Tunas (of the genus <i>Thunnus</i>) &&  skipjack or stripe-bellied bonito <i>(Euthynnus (Katsuwonus)</i>  <i>pelamis</i>) &&  excluding edible fish offal of subheadings 0303.91 to 0303.99
0303.41,2,Albacore or longfinned tunas (<i>Thunnus alalunga</i>)
0303.42,2,Yellowfin tunas (<i>Thunnus albacares</i>)
0303.42.00.20,3,Whole fish
0303.42.00.20,3,Other
0303.42.00.40,4,Head-on
0303.42.00.60,4,Other
0303.43,2,Skipjack or stripe-bellied bonito
0303.44,2,Bigeye tunas (<i>Thunnus obesus</i>)
0303.45.01,2,Atlantic && Pacific bluefin tunas (<i>Thunnus thynnus &&  Thunnus orientalis</i>)
0303.45.01.10,3,<i>Thunnus thynnus</i>
0303.45.01.50,3,<i>Thunnus orientalis</i>
0303.46,2,Southern bluefin tunas (<i>Thunnus maccoyii</i>)
0303.49.02,2,Other
0303,1,Herrings (<i>Clupea harengus</i> &&  <i>Clupea pallasii</i>) &&  anchovies (<i>Engraulis</i> <i>spp</i>.) &&  sardines (<i>Sardina pilchardus</i> &&  <i>Sardinops spp</i>.) &&  <i>sardinella</i> (<i>Sardinella spp</i>.) &&  brisling or sprats (<i>Sprattus sprattus</i>) &&  mackerel (<i>Scomber scombrus</i> &&  <i>Scomber australasicus</i> &&  <i>Scomber japonicus</i>) &&  Indian mackerels (<i>Rastrelliger spp</i>.) &&  seerfishes (<i>Scomberomorus</i> <i>spp</i>.) &&  jack && horse mackerel (<i>Trachurus spp</i>.) &&  jacks &&  crevalles (<i>Caranx spp</i>.) &&  cobia (<i>Rachycentron canadum</i>) &&  silver pomfrets (<i>Pampus spp</i>.) &&  Pacific saury (<i>Cololabis saira</i>) &&  scads (<i>Decapterus</i> <i>spp</i>.) &&  capelin (<i>Mallotus villosus</i>) &&  swordfish (<i>Xiphias gladius</i>) &&  Kawakawa (<i>Euthynnus affinis</i>) &&  bonitos (<i>Sarda spp</i>.) &&  marlins &&  sailfishes &&  spearfish (<i>Istiophoridae</i>) &&  excluding edible fish offal of subheadings 0303.91 to 0303.99
0303.51,2,Herrings (<i>Clupea harengus &&  Clupea pallasii</i>)
0303.53,2,Sardines (<i>Sardina pilchardus &&  Sardinops spp.</i>) &&  sardinella (<i>Sardinella spp.</i>) &&  brisling or sprats (<i>Sprattus sprattus</i>)
0303.54,2,Mackerel (<i>Scomber scombrus &&  Scomber australasicus &&  Scomber japonicus</i>)
0303.55,2,Jack && horse mackerel (<i>Trachurus spp.</i>)
0303.56,2,Cobia (<i>Rachycentron canadum</i>)
0303.57,2,Swordfish (<i>Xiphias gladius</i>)
0303.57.00.10,3,Steaks
0303.57.00.90,3,Other
0303.59,2,Other
0303,1,Fish of the families <i>Bregmacerotidae &&  Euclichthyidae &&  Gadidae &&  Macrouridae &&  Melanonidae &&  Merlucciidae &&  Moridae</i> && <i>Muraenolepididae</i> &&  excluding edible fish offal of subheadings 0303.91 to 0303.99
0303.63,2,Cod (<i>Gadus morhua &&  Gadus ogac &&  Gadus macrocephalus</i>)
0303.63.00.10,3,Atlantic
0303.63.00.90,3,Other
0303.64,2,Haddock (<i>Melanogrammus aeglefinus</i>)
0303.65,2,Coalfish (<i>Pollachius virens</i>)
0303.66,2,Hake (<i>Merluccius spp. &&  Urophycis spp.</i>)
0303.67,2,Alaska pollock (<i>Theragra chalcogramma</i>)
0303.68,2,Blue whitings (<i>Micromesistius poutassou &&  Micromesistius australis</i>)
0303.69,2,Other
0303,1,Other fish &&  excluding edible fish offal of subheadings 0303.91 to 0303.99
0303.81,2,Dogfish && other sharks
0303.81.00.11,3,Dogfish (<i>Squalus spp.</i>)
0303.81.00.91,3,Other
0303.82,2,Rays && skates (<i>Rajidae</i>)
0303.83,2,Toothfish (<i>Dissostichus spp.</i>)
0303.84,2,Sea Bass (<i>Dicentrachus spp.</i>)
0303.89,2,Other
0303.89,3,Smelts
0303.89.00.01,4,Sea smelts
0303.89.00.04,4,Other smelts
0303.89.00.10,3,Cusk
0303.89.00.13,3,Shad && sturgeon
0303.89.00.13,3,Fresh-water fish
0303.89.00.28,4,Pike && pickerel
0303.89.00.31,4,Perch && pike perch (including yellow pike)
0303.89.00.34,4,Sauger
0303.89.00.37,4,Whitefish
0303.89.00.40,4,Tilapias &&  other than <i>Oreochromis spp.</i>
0303.89.00.43,4,Other
0303.89.00.46,3,Atka mackeral (Atkafish) (<i>Pleurogrammus monopterygius</i>)
0303.89.00.49,3,Mullet
0303.89.00.52,3,Monkfish (<i>Lophius spp.</i>)
0303.89.00.55,3,Butterfish
0303.89.00.58,3,Capelin
0303.89.00.61,3,Sable fish (<i>Anoplopoma fimbria</i>)
0303.89.00.64,3,Ocean perch
0303.89.00.67,3,Snapper (<i>Lutjanidae spp.</i>)
0303.89.00.70,3,Grouper
0303.89.00.80,3,Other
0303,1,Livers &&  roes &&  milt &&  fish fins &&  heads &&  tails &&  maws && other edible fish offal
0303.91,2,Livers &&  roes && milt
0303.91.20,3,Sturgeon roe
0303.91.40,3,Other
0303.91.40.20,4,Herring roe
0303.91.40.40,4,Salmon roe
0303.91.40.50,4,Alaskan pollock (<i>Theragra chalcogramma) </i>roe
0303.91.40.60,4,Mullet roe
0303.91.40.95,4,Other
0303.92,2,Shark fins
0303.99,2,Other
0304,0,Fish fillets && other fish meat (whether or not minced) &&  fresh &&  chilled or frozen
0304,1,Fresh or chilled fillets of tilapias (<i>Oreochromis spp</i>.) &&  catfish (<i>Pangasius spp</i>. &&  <i>Silurus spp</i>. &&  <i>Clarias spp</i>. &&  <i>Ictalurus spp</i>.) &&  carp (<i>Cyprinus spp</i>. &&  <i>Carassius spp</i>. &&  <i>Ctenopharyngodon idellus</i> &&  <i>Hypophthalmichthys spp</i>. &&  <i>Cirrhinus spp</i>. &&  <i>Mylopharyngodon piceus</i> &&  <i>Catla catla</i> &&  <i>Labeo spp</i>. &&  <i>Osteochilus hasselti</i> &&  <i>Leptobarbus hoeveni</i> &&  <i>Megalobrama spp</i>.) &&  eels (<i>Anguilla spp</i>.) &&  Nile perch (<i>Lates niloticus</i>) && snakeheads (<i>Channa spp</i>.)
0304.31,2,Tilapias (<i>Oreochromis spp.</i>)
0304.32,2,Catfish (<i>Pangasius spp. &&  Silurus spp. &&  Clarias spp. &&  Ictalurus spp.</i>)
0304.32.00.10,3,<i>Ictalurus spp.</i>
0304.32.00.20,3,<i>Pangasius spp.</i> including basa && tra
0304.32.00.90,3,Other
0304.33,2,Nile perch (<i>Lates niloticus</i>)
0304.39,2,Other<i></i><i></i>
0304,1,Fresh or chilled fillets of other fish
0304.41,2,Pacific salmon (<i>Oncorhynchus nerka &&  Oncorhynchus gorbuscha &&  Oncorhynchus keta &&  Oncorhynchus tschawytscha &&  Oncorhynchus kisutch &&  Oncorhynchus masou</i> && <i>Oncorhynchus rhodurus</i>) Atlantic Salmon (<i>Salmo salar</i>) && Danube salmon (<i>Hucho hucho</i>)
0304.41,3,Atlantic Salmon (<i>Salmo salar</i>)
0304.41.00.10,4,Farmed
0304.41.00.20,4,Not Farmed
0304.41.00.90,3,Other
0304.42,2,Trout (<i>Salmo trutta &&  Oncorhynchus mykiss &&  Oncorhynchus clarki &&  Oncorhynchus aguabonita &&  Oncorhynchus gilae Oncorhynchus apache && </i> && <i>Oncorhynchus chrysogaster</i>)
0304.43,2,Flat Fish (<i>Pleuronectidae &&  Bothidae &&  Cynoglossidae &&  Soleidae &&  Scophthalmidae && </i> && <i>Citharidae</i>)
0304.43.00.10,3,Sole
0304.43.00.15,3,Paice
0304.43.00.20,3,Flounder
0304.43.00.25,3,Greenland turbot (Greenland halibut) &&  (<i>Reinhardtius hippoglossoides</i>)
0304.43.00.90,3,Other
0304.44,2,Fish of the families <i>Bregmacerotidae &&  Euclichthyidae &&  Gadidae &&  Macrouridae &&  Melanonidae &&  Merlucciidae &&  Moridae</i> && <i>Muraenolepididae</i>
0304.44,3,Cod
0304.44.00.10,4,Atlantic Cod
0304.44.00.15,4,Other
0304.44.00.20,3,Haddock
0304.44.00.25,3,Pollock
0304.44.00.30,3,Hake
0304.44.00.90,3,Other
0304.45,2,Swordfish (<i>Xiphias gladius</i>)
0304.46,2,Toothfish (<i>Dissostichus spp.</i>)
0304.47,2,Dogfish && other sharks
0304.48,2,Rays && skates (<i>Rajidae)</i>
0304.49.01,2,Other
0304.49.01,3,Fresh-water fish
0304.49.01.03,4,Pike
0304.49.01.06,4,Pickerel
0304.49.01.09,4,Whitefish
0304.49.01.12,4,Tilapia &&  other than <i>Oreochromis spp.</i>
0304.49.01.15,4,Other
0304.49.01.20,3,Atlantic ocean perch
0304.49.01.25,3,Cusk
0304.49.01.90,3,Other
0304,1,Other &&  fresh or chilled
0304.51.01,2,Tilapias (<i>Oreochromis spp</i>.) &&  catfish (<i>Pangasius spp</i>. &&  <i>Silurus spp</i>. &&  <i>Clarias</i> <i>spp</i>. &&  <i>Ictalurus spp</i>.) &&  carp (<i>Cyprinus spp</i>. &&  <i>Carassius spp</i>. &&  <i>Ctenopharyngodon idellus</i> &&  <i>Hypophthalmichthys spp</i>. &&  <i>Cirrhinus spp</i>. &&  <i>Mylopharyngodon piceus</i> &&  <i>Catla catla</i> &&  <i>Labeo spp</i>. &&  <i>Osteochilus hasselti</i> &&  <i>Leptobarbus hoeveni</i> &&  <i>Megalobrama spp</i>.) &&  eels (<i>Anguilla spp</i>.) &&  Nile perch (<i>Lates niloticus</i>) && snakeheads (<i>Channa spp</i>.)
0304.51.01.10,3,<i>Ictalurus spp.</i>
0304.51.01.15,3,<i>Pangasius spp.</i> &&  including basa && tra
0304.51.01.20,3,Nile Perch
0304.51.01.25,3,Tilapias (<i>Oreochromis spp.</i>)
0304.51.01.90,3,Other
0304.52,2,Salmonidae
0304.52,3,Atlantic salmon (<i>Salmo salar</i>)
0304.52.00.10,4,Farmed
0304.52.00.15,4,Not farmed
0304.52.00.20,3,Other salmon
0304.52.00.90,3,Other
0304.53,2,Fish of the families <i>Bregmacerotidae &&  Euclichthyidae &&  Gadidae &&  Macrouridae &&  Melanonidae &&  Merlucciidae &&  Moridae</i> && <i>Muraenolepididae</i>
0304.53,3,Cod
0304.53.00.10,4,Atlantic Cod
0304.53.00.15,4,Other
0304.53.00.20,3,Haddock
0304.53.00.25,3,Pollock
0304.53.00.30,3,Hake
0304.53.00.90,3,Other
0304.54,2,Swordfish (<i>Xiphias gladius</i>)
0304.55,2,Toothfish (<i>Dissostichus spp.</i>)
0304.56,2,Dogfish && other sharks
0304.57,2,Rays && skates (<i>Rajidae)</i>
0304.59,2,Other
0304.59,3,Fresh-water fish
0304.59,4,Perch
0304.59.00.03,5,Yellow perch
0304.59.00.06,5,Pike perch (including yellow pike)
0304.59.00.09,5,Other
0304.59.00.15,4,Pike
0304.59.00.20,4,Pickerel
0304.59.00.25,4,Whitefish
0304.59.00.30,4,Tilapia other than <i>Oreochromis spp.</i>
0304.59.00.36,4,Other
0304.59,3,Flat Fish
0304.59.00.40,4,Sole
0304.59.00.45,4,Plaice
0304.59.00.50,4,Flounder
0304.59.00.55,4,Greenland turbot (Greenland halibut) &&  (<i>Reinhardtius hippoglossoides</i>)
0304.59.00.61,4,Other
0304.59.00.65,3,Atlantic ocean perch
0304.59.00.70,3,Cusk
0304.59.00.91,3,Other
0304,1,Frozen fillets of tilapias (<i>Oreochromis spp</i>.) &&  catfish (<i>Pangasius</i> <i>spp</i>. &&  <i>Silurus spp</i>. &&  <i>Clarias spp</i>. &&  <i>Ictalurus spp</i>.) &&  carp (<i>Cyprinus</i> <i>spp</i>. &&  <i>Carassius spp</i>. &&  <i>Ctenopharyngodon idellus</i> &&  <i>Hypophthalmichthys spp</i>. &&  <i>Cirrhinus spp</i>. &&   <i>Mylopharyngodon</i> <i>piceus</i> &&  <i>Catla catla</i> &&  <i>Labeo spp</i>. &&  <i>Osteochilus hasselti</i> &&  <i>Leptobarbushoeveni</i> &&  <i>Megalobrama spp</i>.) &&  eels (<i>Anguilla spp</i>.) &&  Nile perch (<i>Lates niloticus</i>) && snakeheads (<i>Channa spp</i>.)
0304.61,2,Tilapias (<i>Oreochromis spp.</i>)
0304.62,2,Catfish (<i>Pangasius spp. &&  Silurus spp. &&  Clarias spp. &&  Ictalurus spp.</i>)
0304.62.00.10,3,<i>Ictalurus spp.</i>
0304.62.00.20,3,<i>Pangasius spp</i>. (including basa && tra)
0304.62.00.30,3,Other Siluriformes
0304.62.00.90,3,Other
0304.63,2,Nile perch (<i>Lates niloticus</i>)
0304.69,2,Other
0304,1,Frozen fillets of the families <i>Bregmacerotidae &&  Euclichthyidae &&  Gadidae &&  Macrouridae &&  Melanonidae &&  Merlucciidae &&  Moridae</i> && <i>Muraenolepididae</i>
0304.71,2,Cod (<i>Gadus morhua &&  Gadus ogac && Gadus macrocephalus</i>)
0304.71.10,3,Skinned &&  whether or not divided into pieces &&  && frozen into blocks each weighing over 4.5 kg &&  imported to be minced &&  ground or cut into pieces of uniform weights && dimensions
0304.71.50,3,Other
0304.72,2,Haddock (<i>Melanogrammus aeglefinus</i>)
0304.72.10,3,Skinned &&  whether or not divided into pieces &&  && frozen into blocks each weighing over 4.5 kg &&  imported to be minced &&  ground or cut into pieces of uniform weights && dimensions
0304.72.50,3,Other
0304.73,2,Coalfish (<i>Pollachius virens</i>)
0304.73.10,3,Skinned &&  whether or not divided into pieces &&  && frozen into blocks each weighing over 4.5 kg &&  imported to be minced &&  ground or cut into pieces of uniform weights && dimensions
0304.73.50,3,Other
0304.74,2,Hake (<i>Merluccius spp. &&  Urophycis spp.</i>)
0304.74.10,3,Skinned &&  whether or not divided into pieces &&  && frozen into blocks each weighing over 4.5 kg &&  imported to be minced &&  ground or cut into pieces of uniform weights && dimensions
0304.74.50,3,Other
0304.75,2,Alaska pollock (<i>Theragra chalcogramma</i>)
0304.75.10,3,Skinned &&  whether or not divided into pieces &&  && frozen into blocks each weighing over 4.5 kg &&  imported to be minced &&  ground or cut into pieces of uniform weights && dimensions
0304.75.50,3,Other
0304.79,2,Other<i></i>:<i></i>
0304.79.10,3,Skinned &&  whether or not divided into pieces &&  && frozen into blocks each weighing over 4.5 kg &&  imported to be minced &&  ground or cut into pieces of uniform weights && dimensions
0304.79.10.10,4,Pollock other than Alaska pollock
0304.79.10.15,4,Whiting (<i>Merluccius spp.</i>)
0304.79.10.90,4,Other
0304.79.50,3,Other
0304,1,Frozen fillets of other fish
0304.81,2,Pacific salmon (<i>Oncorhynchus nerka &&  Oncorhynchus gorbuscha &&  Oncorhynchus keta &&  Oncorhynchus tschawytscha &&  Oncorhynchus kisutch &&  Oncorhynchus masou</i> && <i>Oncorhynchus rhodurus</i>) Atlantic Salmon (<i>Salmo salar</i>) && Danube salmon (<i>Hucho hucho</i>)
0304.81.10,3,Skinned &&  whether or not divided into pieces &&  && frozen into blocks each weighing over 4.5 kg &&  imported to be minced &&  ground or cut into pieces of uniform weights && dimensions
0304.81.50,3,Other
0304.81.50.10,4,Atlantic salmon (<i>Salmo salar</i>)
0304.81.50.90,4,Other
0304.82,2,Trout (<i>Salmo trutta &&  Oncorhynchus mykiss &&  Oncorhynchus clarki &&  Oncorhynchus aguabonita &&  Oncorhynchus gilae Oncorhynchus apache</i> && <i>Oncorhynchus chrysogaster</i>)
0304.82.10,3,Skinned &&  whether or not divided into pieces &&  && frozen into blocks each weighing over 4.5 kg &&  imported to be minced &&  ground or cut into pieces of uniform weights && dimensions
0304.82.50,3,Other
0304.83,2,Flat fish (<i>Pleuronectidae &&  Bothidae &&  Cynoglossidae &&  Soleidae &&  Scophthalmidae</i> &&  && <i>Citharidae</i>)
0304.83.10,3,Skinned &&  whether or not divided into pieces &&  && frozen into blocks each weighing over 4.5 kg &&  imported to be minced &&  ground or cut into pieces of uniform weights && dimensions
0304.83.10.10,4,Greenland turbot (Greenland halibut) (<i>Reinhardtius hippoglossoides</i>)
0304.83.10.15,4,Sole
0304.83.10.20,4,Flounder
0304.83.10.20,4,Other
0304.83.10.25,5,Halibut
0304.83.10.30,5,Turbot
0304.83.10.90,5,Other
0304.83.50,3,Other
0304.83.50.10,4,Greenland turbot (Greenland halibut) (<i>Reinhardtius hippoglossoides</i>)
0304.83.50.15,4,Sole
0304.83.50.20,4,Flounder
0304.83.50.20,4,Other
0304.83.50.25,5,Halibut
0304.83.50.30,5,Turbot
0304.83.50.90,5,Other
0304.84,2,Swordfish (<i>Xiphias gladius</i>)
0304.85,2,Toothfish (<i>Dissostichus spp.</i>)
0304.86,2,Herrings (<i>Clupea harengus &&  Clupea pallasii</i>)
0304.87,2,Tunas (of the genus <i>Thunnus</i>) &&  skipjack or stripe-bellied bonito (<i>Euthynnus (Katsuwonus) pelamis</i>)
0304.88,2,Dogfish &&  other sharks &&  rays && skates (Rajidae)
0304.89,2,Other
0304.89.10,3,Skinned &&  whether or not divided into pieces &&  && frozen into blocks each weighing over 4.5 kg &&  imported to be minced &&  ground or cut into pieces of uniform weights && dimensions
0304.89.10.10,4,Ocean catfish (wolf fish)
0304.89.10.15,4,Pickerel
0304.89.10.20,4,Sauger
0304.89.10.20,4,Perch
0304.89.10.25,5,Atlantic ocean perch
0304.89.10.30,5,Other ocean perch
0304.89.10.35,5,Other
0304.89.10.90,4,Other
0304.89.50,3,Other
0304.89.50,4,Fresh-water fish
0304.89.50,5,Perch
0304.89.50.03,6,Yellow perch
0304.89.50.06,6,Pike perch (including yellow pike)
0304.89.50.09,6,Other
0304.89.50.15,5,Pickerel
0304.89.50.20,5,Pike
0304.89.50.25,5,Sauger
0304.89.50.30,5,Other
0304.89.50.35,4,Atlantic ocean perch
0304.89.50.40,4,Other ocean perch
0304.89.50.45,4,Ocean catfish (wolf fish)
0304.89.50.50,4,Orange roughy (<i>Hoplostethus atlanticus</i>)
0304.89.50.55,4,Dolphin (Mahi mahi) (<i>Coryphaena spp.</i>)
0304.89.50.60,4,Cusk
0304.89.50.91,4,Other
0304,1,Other &&  frozen
0304.91,2,Swordfish (<i>Xiphias gladius</i>)
0304.91.10,3,In bulk or in immediate containers weighing with their contents over <il>6.8 kg</il> each
0304.91.90,3,Other
0304.92,2,Toothfish (<i>Dissostichus spp.</i>)
0304.92.10,3,In bulk or in immediate containers weighing with their contents over <il>6.8 kg</il> each
0304.92.90,3,Other
0304.93,2,Tilapias (<i>Oreochromis spp</i>.) &&  catfish (<i>Pangasius spp</i>. &&  <i>Silurus spp</i>. &&  <i>Clarias</i> <i>spp</i>. &&  <i>Ictalurus spp</i>.) &&  carp (<i>Cyprinus spp</i>. &&  <i>Carassius spp</i>. &&  <i>Ctenopharyngodon idellus</i> &&  <i>Hypophthalmichthys spp</i>. &&  <i>Cirrhinus spp</i>. &&  <i>Mylopharyngodon piceus</i> &&  <i>Catla catla</i> &&  <i>Labeo spp</i>. &&  <i>Osteochilus hasselti</i> &&  <i>Leptobarbus hoeveni</i> &&  <i>Megalobrama spp</i>.) &&  eels (<i>Anguilla spp</i>.) &&  Nile perch (<i>Lates niloticus</i>) && snakeheads (<i>Channa spp</i>.)
0304.93.10,3,In bulk or in immediate containers weighing with their contents over <il>6.8 kg</il> each
0304.93.10,4,Minced
0304.93.10.05,5,Surimi
0304.93.10.10,5,Other
0304.93.10.90,4,Other
0304.93.90,3,Other
0304.94,2,Alaska pollock (<i>Theragra chalcogramma</i>)
0304.94.10,3,In bulk or in immediate containers weighing with their contents over <il>6.8 kg</il> each
0304.94.10,4,Minced
0304.94.10.05,5,Surimi
0304.94.10.10,5,Other
0304.94.10.90,4,Other
0304.94.90,3,Other
0304.95,2,Fish of the families <i>Bregmacerotidae &&  Euclichthyidae &&  Gadidae &&  Macrouridae &&  Melanonidae &&  Merlucciidae &&  Moridae</i> && <i>Muraenolepididae</i> &&  other than Alaska pollock (<i>Theragra chalcogramma</i>)
0304.95.10,3,In bulk or in immediate containers weighing with their contents over <il>6.8 kg</il> each
0304.95.10,4,Minced
0304.95.10.05,5,Surimi
0304.95.10.05,5,Other
0304.95.10.10,6,Cod
